RepID,Drought or Watered,Genotype,SoilLocation,SoilHabitat,Block,Germination,GerminationDate,Harvest Date,Timepoint,Height_Jan29,Height_Feb5,Height_Feb12,Height_Feb19,GrowthRate1,GrowthRate2,GrowthRate3,GrowthRate4,AvgGrowthRate,CCI_Feb3,CCI_Feb17,FirstFreshRootWeight,FirstDryRootWeight,RootMassRate1,FirstDryShootWeight,ShootMassRate1,SecondFreshRootWeight,SecondDryRootWeight,RootMassRate2,SecondDryShootWeight,ShootMassRate2,ThirdFreshRootWeight,ThirdDryShootWeight,ThirdDryRootWeight,RootMassRate,ShootMassRate,TotalMassRate,RootShootRatio
44,W,Mo17,TLI,Native,B,Y,1/29/2020,3/4/2020,late,,4,4.5,5.25,,0.5,0.3,0.238636364,0.346212121,1.8,,,,,,,,,,,,0.36,0.026,0.023,0.000657143,0.000742857,0.0014,0.884615385
45,D,B73,KNZ,Native,B,Y,1/24/2020,3/4/2020,late,8.25,15.25,19,24,1.375,1.173076923,0.95,0.888888889,1.096741453,13.6,9.2,,,,,,,,,,,1.29,0.205,0.222791382,0.005569785,0.005125,0.010694785,1.08678723
46,W,B73,KNZ,Native,B,Y,1/29/2020,3/4/2020,late,4,15.75,26.5,29.5,4,1.96875,1.766666667,1.340909091,2.269081439,7.9,11,,,,,,,,,,,1.36,0.263,0.289,0.008257143,0.007514286,0.015771429,1.098859316
47,D,Mo17,KNZ,Native,B,Y,1/29/2020,2/24/2020,middle,3,13,20.25,22.5,3,1.625,1.35,1.022727273,1.749431818,2.2,19.4,,,,,,1.15,0.242,0.009307692,0.15,0.005769231,,,,0.009307692,0.005769231,0.015076923,1.613333215
48,W,Mo17,KNZ,Native,B,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
49,D,B73,HAY,Native,B,Y,1/24/2020,3/4/2020,late,8.75,12.75,15.75,17.75,1.458333333,0.980769231,0.7875,0.657407407,0.971002493,20.6,10.2,,,,,,,,,,,1.45,0.216,0.266,0.00665,0.0054,0.01205,1.231481481
50,W,B73,HAY,Native,B,Y,1/24/2020,3/4/2020,late,9.25,21.25,35.25,38.5,1.541666667,1.634615385,1.7625,1.425925926,1.591176994,3.9,4.8,,,,,,,,,,,2.36,0.457,0.349,0.008725,0.011425,0.02015,0.763676149
51,D,Mo17,HAY,Native,B,Y,1/27/2020,3/4/2020,late,7,9.25,16.5,20,2.333333333,0.925,0.970588235,0.833333333,1.265563725,9.5,4.9,,,,,,,,,,,1.52,0.231,0.262513877,0.00709497,0.006243243,0.013338213,1.136423709
52,W,Mo17,HAY,Native,B,Y,1/27/2020,3/4/2020,late,3.5,8,11.5,18.25,1.166666667,0.8,0.676470588,0.760416667,0.85088848,36.9,19.4,,,,,,,,,,,0.77,0.132,0.195,0.00527027,0.003567568,0.008837838,1.477272727
53,D,B73,TLI,Agriculture,B,Y,1/24/2020,3/4/2020,late,9,13.75,18,24,1.5,1.057692308,0.9,0.888888889,1.086645299,1.8,11.7,,,,,,,,,,,1.13,0.219,0.243,0.006075,0.005475,0.01155,1.109589041
54,W,B73,Control,Control,B,Y,1/24/2020,2/24/2020,middle,9,20,35.75,37.25,1.5,1.538461538,1.7875,1.37962963,1.551397792,1.1,6.5,,,,,,1.83,0.296,0.009548387,0.317,0.010225806,,,,0.009548387,0.010225806,0.019774193,0.933753975
55,D,B73,SVR,Agriculture,B,Y,1/27/2020,3/4/2020,late,7.5,7.5,12.75,19,2.5,0.75,0.75,0.791666667,1.197916667,1.5,10.8,,,,,,,,,,,1.14,0.196,0.18,0.004864865,0.005297297,0.010162162,0.918367347
56,W,B73,SVR,Native,B,Y,1/24/2020,3/4/2020,late,8.5,18.5,31,33.25,1.416666667,1.423076923,1.55,1.231481481,1.405306268,2.4,10.1,,,,,,,,,,,1.02,0.362,0.272,0.0068,0.00905,0.01585,0.751381215
57,D,B73,SVR,Agriculture,C,Y,1/27/2020,2/10/2020,early,7.25,8.5,,,2.416666667,0.85,,,1.633333333,7.3,,1.42,0.340516,0.024322571,0.08,0.005714286,,,,,,,,,0.024322571,0.005714286,0.030036857,4.256449712
58,W,B73,SVR,Agriculture,C,Y,1/27/2020,3/4/2020,late,7.5,21.25,31.25,37,2.5,2.125,1.838235294,1.541666667,2.00122549,21.6,6.8,,,,,,,,,,,2.24,0.387,0.386862555,0.010455745,0.010459459,0.020915204,0.999644845
59,D,Mo17,SVR,Agriculture,C,Y,1/29/2020,3/4/2020,late,4,10.75,18,18,4,1.34375,1.2,0.818181818,1.840482955,1.5,8.8,,,,,,,,,,,1.03,0.18,0.177887693,0.005082506,0.005142857,0.010225363,0.98826496
60,W,Mo17,SVR,Agriculture,C,Y,1/29/2020,2/24/2020,middle,3.25,17,31.75,37,3.25,2.125,2.116666667,1.681818182,2.293371212,13.5,15.5,,,,,,2.34,0.4437225,0.01706625,0.296,0.011384615,,,,0.01706625,0.011384615,0.028450865,1.499062551
61,D,B73,SVR,Native,C,Y,1/24/2020,2/24/2020,middle,8.75,15,20,25.5,1.458333333,1.153846154,1,0.944444444,1.139155983,13.3,11.2,,,,,,1.59,0.325,0.010483871,0.13,0.004193548,,,,0.010483871,0.004193548,0.014677419,2.500000238
62,W,B73,SVR,Native,C,Y,1/27/2020,3/4/2020,late,8.5,22.75,32,37,2.833333333,2.275,1.882352941,1.541666667,2.133088235,15.3,13.2,,,,,,,,,,,2.39,0.463,0.41276853,0.011155906,0.012513514,0.02366942,0.891508704
63,D,Mo17,SVR,Native,C,Y,1/29/2020,,,1.5,8.75,13,,1.5,1.09375,0.866666667,,1.153472222,6,,,,,,,,,,,,,,,,,0,
64,W,Mo17,SVR,Native,C,Y,1/29/2020,3/4/2020,late,2,11.5,18.75,26,2,1.4375,1.25,1.181818182,1.467329545,12.3,12.4,,,,,,,,,,,2.03,0.273,0.253,0.007228571,0.0078,0.015028571,0.926739927
65,D,B73,TLI,Agriculture,C,Y,1/27/2020,2/10/2020,early,6.75,6.75,,,2.25,0.675,,,1.4625,11.5,,0.34,0.121,0.008642857,0.013,0.000928571,,,,,,,,,0.008642857,0.000928571,0.009571428,9.30769645
66,W,B73,TLI,Agriculture,C,Y,1/27/2020,2/10/2020,early,5.5,18.25,,,1.833333333,1.825,,,1.829166667,3.4,,1.67,0.400466,0.028604714,0.097,0.006928571,,,,,,,,,0.028604714,0.006928571,0.035533285,4.128515678
67,D,Mo17,TLI,Agriculture,C,Y,,3/4/2020,late,,11,14.25,18.5,,1.833333333,1.096153846,0.925,1.28482906,,5,,,,,,,,,,,1.71,0.18,0.158,0.004787879,0.005454545,0.010242424,0.877777778
68,W,Mo17,TLI,Agriculture,C,Y,1/27/2020,3/4/2020,late,4,13.75,24.25,24.5,1.333333333,1.375,1.426470588,1.020833333,1.288909314,7.4,25.1,,,,,,,,,,,1.19,0.176,0.188,0.005081081,0.004756757,0.009837838,1.068181818
69,D,B73,TLI,Native,C,Y,1/27/2020,3/4/2020,late,7,8,12.5,20,2.333333333,0.8,0.735294118,0.833333333,1.175490196,30.1,8.8,,,,,,,,,,,1.27,0.168,0.173,0.004675676,0.004540541,0.009216216,1.029761905
70,W,B73,TLI,Native,C,Y,1/27/2020,2/24/2020,middle,8.5,21.5,33.75,34.25,2.833333333,2.15,1.985294118,1.427083333,2.098927696,12.5,7.7,,,,,,2.31,0.286,0.010214286,0.369,0.013178571,,,,0.010214286,0.013178571,0.023392857,0.775067798
71,D,Mo17,TLI,Native,C,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
72,W,Mo17,TLI,Native,C,Y,1/27/2020,2/24/2020,middle,3.5,17.5,32,35.25,1.166666667,1.75,1.882352941,1.46875,1.566942402,18.8,12.5,,,,,,2.94,0.535,0.019107143,0.302,0.010785714,,,,0.019107143,0.010785714,0.029892857,1.771523239
73,D,B73,KNZ,Native,C,Y,1/24/2020,2/10/2020,early,9.5,12.5,,,1.583333333,0.961538462,,,1.272435897,13.8,,0.74,0.18,0.010588235,0.06,0.003529412,,,,,,,,,0.010588235,0.003529412,0.014117647,2.999999717
74,W,B73,KNZ,Native,C,Y,1/27/2020,2/10/2020,early,7.5,22,,,2.5,2.2,,,2.35,2.9,,1.58,0.378884,0.027063143,0.15,0.010714286,,,,,,,,,0.027063143,0.010714286,0.037777429,2.525893279
75,D,Mo17,KNZ,Native,C,Y,1/27/2020,3/4/2020,late,6,7.5,8.75,16,2,0.75,0.514705882,0.666666667,0.982843137,11.4,8,,,,,,,,,,,1.49,0.196,0.174,0.004702703,0.005297297,0.01,0.887755102
76,W,Mo17,KNZ,Native,C,Y,1/27/2020,2/24/2020,middle,6,21.25,31.5,36,2,2.125,1.852941176,1.5,1.869485294,1.1,17.7,,,,,,2.37,0.44941125,0.016050402,0.262,0.009357143,,,,0.016050402,0.009357143,0.025407545,1.715310111
77,D,B73,HAY,Native,C,Y,1/24/2020,3/4/2020,late,9.5,15.25,17.5,26.25,1.583333333,1.173076923,0.875,0.972222222,1.15090812,21.9,13.1,,,,,,,,,,,1.32,0.247,0.227972577,0.005699314,0.006175,0.011874314,0.922965899
78,W,B73,HAY,Native,C,Y,1/27/2020,3/4/2020,late,8.25,16,19.5,25.25,2.75,1.6,1.147058824,1.052083333,1.637285539,6.3,5,,,,,,,,,,,2.2,0.488,0.302,0.008162162,0.013189189,0.021351351,0.618852459
79,D,Mo17,HAY,Native,C,Y,1/29/2020,3/4/2020,late,3,6,13.25,14,3,0.75,0.883333333,0.636363636,1.317424242,2.2,7.1,,,,,,,,,,,0.94,0.126,0.158,0.004514286,0.0036,0.008114286,1.253968254
80,W,Mo17,HAY,Native,C,Y,1/27/2020,3/4/2020,late,5,16,23.25,33,1.666666667,1.6,1.367647059,1.375,1.502328431,9.5,1.4,,,,,,,,,,,2.21,0.453,0.38168136,0.010315712,0.012243243,0.022558956,0.842563709
81,D,B73,TLI,Agriculture,C,Y,1/29/2020,3/4/2020,late,2,8,15.75,16.25,2,1,1.05,0.738636364,1.197159091,8.8,8.2,,,,,,,,,,,0.49,0.099,0.106,0.003028571,0.002828571,0.005857143,1.070707071
82,W,B73,TLI,Native,C,Y,1/24/2020,2/10/2020,early,8.25,19.25,,,1.375,1.480769231,,,1.427884615,4.8,,1.09,0.11,0.006470588,0.1,0.005882353,,,,,,,,,0.006470588,0.005882353,0.012352941,1.099999949
83,D,Mo17,HAY,Native,C,Y,1/27/2020,2/10/2020,early,5.5,8,,,1.833333333,0.8,,,1.316666667,19.3,,1.23,0.28,0.02,0.07,0.005,,,,,,,,,0.02,0.005,0.025,4
84,W,B73,Control,Control,C,Y,1/24/2020,3/4/2020,late,9,19,33,35.25,1.5,1.461538462,1.65,1.305555556,1.479273504,1.2,20.7,,,,,,,,,,,1.67,0.466,0.229,0.005725,0.01165,0.017375,0.491416309
85,D,B73,SVR,Agriculture,D,Y,1/27/2020,3/4/2020,late,7,7.5,14,24.5,2.333333333,0.75,0.823529412,1.020833333,1.23192402,1.3,1.1,,,,,,,,,,,1.43,0.281,0.308,0.008324324,0.007594595,0.015918919,1.096085409
86,W,B73,SVR,Agriculture,D,Y,1/29/2020,3/4/2020,late,1,6,9,12.5,1,0.75,0.6,0.568181818,0.729545455,1.8,11.9,,,,,,,,,,,0.84,0.084,0.083,0.002371429,0.0024,0.004771429,0.988095238
87,D,Mo17,SVR,Agriculture,D,Y,1/27/2020,3/4/2020,late,4.5,4,7.75,16.25,1.5,0.4,0.455882353,0.677083333,0.758241422,7,9.7,,,,,,,,,,,1.52,0.184,0.177,0.004783784,0.004972973,0.009756757,0.961956522
88,W,Mo17,SVR,Agriculture,D,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
89,D,B73,SVR,Native,D,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
90,W,B73,SVR,Native,D,Y,1/24/2020,3/4/2020,late,7.25,20.75,25,33,1.208333333,1.596153846,1.25,1.222222222,1.31917735,9.7,11,,,,,,,,,,,1.64,0.405,0.216,0.0054,0.010125,0.015525,0.533333333
91,D,Mo17,SVR,Native,D,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
92,W,Mo17,SVR,Native,D,Y,1/27/2020,2/24/2020,middle,5.25,18,28.5,34,1.75,1.8,1.676470588,1.416666667,1.660784314,1,15.2,,,,,,2.24,0.42476,0.01517,0.208,0.007428571,,,,0.01517,0.007428571,0.022598571,2.042115502
93,D,B73,TLI,Agriculture,D,Y,1/24/2020,3/4/2020,late,8,14.5,17.5,21,1.333333333,1.115384615,0.875,0.777777778,1.025373932,13.6,9.4,,,,,,,,,,,1.09,0.184,0.18,0.0045,0.0046,0.0091,0.97826087
94,W,B73,TLI,Agriculture,D,Y,1/27/2020,3/4/2020,late,8.25,18.5,33,36,2.75,1.85,1.941176471,1.5,2.010294118,2.2,7.4,,,,,,,,,,,2.12,0.463,0.366137775,0.009895616,0.012513514,0.022409129,0.790794331
95,D,Mo17,TLI,Agriculture,D,Y,1/31/2020,3/4/2020,late,,5.75,6,6,,0.958333333,0.461538462,0.3,0.573290598,,,,,,,,,,,,,0.2,0.16,0.088,0.002666667,0.004848485,0.007515152,0.55
96,W,Mo17,TLI,Agriculture,D,Y,1/27/2020,2/24/2020,middle,7,22,33.5,37,2.333333333,2.2,1.970588235,1.541666667,2.011397059,10.6,17.2,,,,,,2.94,0.378,0.0135,0.257,0.009178571,,,,0.0135,0.009178571,0.022678571,1.470817189
97,D,B73,TLI,Native,D,Y,1/27/2020,3/4/2020,late,7,8,12.5,17,2.333333333,0.8,0.735294118,0.708333333,1.144240196,1.1,7,,,,,,,,,,,0.97,0.21,0.151,0.004081081,0.005675676,0.009756757,0.719047619
98,W,B73,TLI,Native,D,Y,1/24/2020,3/4/2020,late,9.25,22.5,36.5,37.5,1.541666667,1.730769231,1.825,1.388888889,1.621581197,18.6,2.4,,,,,,,,,,,2.27,0.615,0.39204375,0.009801094,0.015375,0.025176094,0.637469512
99,D,Mo17,TLI,Native,D,Y,1/27/2020,3/4/2020,late,5,8,11.75,13.75,1.666666667,0.8,0.691176471,0.572916667,0.932689951,2.5,16.5,,,,,,,,,,,0.8,0.151,0.102,0.002756757,0.004081081,0.006837838,0.675496689
100,W,Mo17,TLI,Native,D,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
101,D,B73,KNZ,Native,D,Y,1/24/2020,3/4/2020,late,8.75,14.25,16.75,19.25,1.458333333,1.096153846,0.8375,0.712962963,1.026237536,7.6,7.9,,,,,,,,,,,0.98,0.21,0.159,0.003975,0.00525,0.009225,0.757142857
102,W,B73,KNZ,Native,D,Y,1/24/2020,3/4/2020,late,7.5,18.25,31.75,33.5,1.25,1.403846154,1.5875,1.240740741,1.370521724,15.2,7.9,,,,,,,,,,,1.42,0.478,0.213,0.005325,0.01195,0.017275,0.445606695
103,D,Mo17,KNZ,Native,D,Y,1/27/2020,2/10/2020,early,6,6.75,,,2,0.675,,,1.3375,5.3,,0.88,0.21,0.015,0.03,0.002142857,,,,,,,,,0.015,0.002142857,0.017142857,7.000000467
104,W,Mo17,KNZ,Native,D,Y,1/27/2020,3/4/2020,late,4.75,15,20.75,25.75,1.583333333,1.5,1.220588235,1.072916667,1.344209559,13.2,15.9,,,,,,,,,,,1.26,0.262,0.151,0.004081081,0.007081081,0.011162162,0.576335878
105,D,B73,HAY,Native,D,Y,1/27/2020,3/4/2020,late,7.25,9,12,16,2.416666667,0.9,0.705882353,0.666666667,1.172303922,4.4,28.2,,,,,,,,,,,0.85,0.173,0.132,0.003567568,0.004675676,0.008243243,0.76300578
106,W,B73,HAY,Native,D,Y,1/24/2020,2/10/2020,early,9.25,18.75,,,1.541666667,1.442307692,,,1.491987179,22.3,,1.22,0.292556,0.017209176,0.13,0.007647059,,,,,,,,,0.017209176,0.007647059,0.024856235,2.250430656
107,D,Mo17,HAY,Native,D,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
108,W,Mo17,HAY,Native,D,Y,1/29/2020,2/10/2020,early,4,13.5,,,4,1.6875,,,2.84375,7.1,,1.61,0.386078,0.032173167,0.08,0.006666667,,,,,,,,,0.032173167,0.006666667,0.038839834,4.825974809
109,D,B73,Control,Control,D,Y,1/24/2020,3/4/2020,late,8,14,18.25,22,1.333333333,1.076923077,0.9125,0.814814815,1.034392806,1.3,9.9,,,,,,,,,,,0.89,0.199,0.207,0.005175,0.004975,0.01015,1.040201005
110,W,Mo17,HAY,Native,D,Y,1/27/2020,2/24/2020,middle,5,20.25,31,33.25,1.666666667,2.025,1.823529412,1.385416667,1.725153186,6.4,21.7,,,,,,2.05,0.261,0.009321429,0.208,0.007428571,,,,0.009321429,0.007428571,0.01675,1.254807822
111,D,Mo17,KNZ,Native,D,Y,1/27/2020,3/4/2020,late,4.75,5.5,8,13.25,1.583333333,0.55,0.470588235,0.552083333,0.789001225,1.4,9.6,,,,,,,,,,,1.07,0.159,0.17,0.004594595,0.004297297,0.008891892,1.06918239
112,W,Mo17,KNZ,Native,D,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
